Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
26/04/2020;Oman;1998;10;333;0.50;16.67;82.83
26/04/2020;Nouvelle-Zélande;1469;19;1180;1.29;80.33;18.38
26/04/2020;Népal;52;0;16;0.00;30.77;69.23
26/04/2020;Pays-Bas;38040;4491;117;11.81;0.31;87.89
26/04/2020;Norvège;7527;201;32;2.67;0.43;96.90
26/04/2020;Nicaragua;13;3;7;23.08;53.85;23.08
26/04/2020;Nigéria;1273;40;239;3.14;18.77;78.08
26/04/2020;Niger;696;29;350;4.17;50.29;45.55
26/04/2020;Nouvelle-Calédonie;18;0;17;0.00;94.44;5.56
26/04/2020;Namibie;16;0;8;0.00;50.00;50.00
26/04/2020;Mozambique;76;0;12;0.00;15.79;84.21
26/04/2020;Malaisie;5780;98;3862;1.70;66.82;31.49
26/04/2020;Maldives;214;0;17;0.00;7.94;92.06
26/04/2020;Malawi;34;3;4;8.82;11.76;79.41
26/04/2020;Mexique;14677;1351;8354;9.20;56.92;33.88
26/04/2020;Maurice;332;9;299;2.71;90.06;7.23
26/04/2020;Malte;448;4;282;0.89;62.95;36.16
26/04/2020;Mauritanie;7;1;6;14.29;85.71;0.00
26/04/2020;Martinique;175;14;77;8.00;44.00;48.00
26/04/2020;Macao;45;0;31;0.00;68.89;31.11
26/04/2020;Mongolie;38;0;9;0.00;23.68;76.32
26/04/2020;Mali;389;23;112;5.91;28.79;65.30
26/04/2020;Birmanie;146;5;10;3.42;6.85;89.73
26/04/2020;Macédoine;1386;61;500;4.40;36.08;59.52
26/04/2020;Madagascar;124;0;71;0.00;57.26;42.74
26/04/2020;Saint Martin;38;3;24;7.89;63.16;28.95
26/04/2020;Montenegro;321;7;153;2.18;47.66;50.16
26/04/2020;Moldavie;3408;96;895;2.82;26.26;70.92
26/04/2020;Monaco;94;4;42;4.26;44.68;51.06
26/04/2020;Maroc;4065;161;593;3.96;14.59;81.45
26/04/2020;Libye;61;2;18;3.28;29.51;67.21
26/04/2020;Lettonie;812;12;267;1.48;32.88;65.64
26/04/2020;Luxembourg;3723;88;3104;2.36;83.37;14.26
26/04/2020;Lituanie;1438;41;467;2.85;32.48;64.67
26/04/2020;Libéria;124;12;25;9.68;20.16;70.16
26/04/2020;Sri Lanka;523;7;120;1.34;22.94;75.72
